#
#
# US Geological Survey, Water Resources Data
# retrieved: 2022-05-05 16:21:09 EDT      (sdww02)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 06479010 VERMILLION RIVER NR VERMILLION,SD
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		128843	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	06479010	00060	128843	3	4	2014	2021	8	2020	1430	2014	9.00	383			40	54	164	692	922		
USGS	06479010	00060	128843	3	5	2014	2021	8	2020	1660	2014	10.0	487			39	56	243	832	1020		
USGS	06479010	00060	128843	3	6	2014	2021	8	2020	1820	2014	11.0	503			41	59	259	797	1020		
USGS	06479010	00060	128843	3	7	2014	2021	8	2020	1890	2014	12.0	499			42	59	276	704	944		
USGS	06479010	00060	128843	3	8	2014	2021	8	2020	1960	2014	12.0	502			44	60	288	679	944		
USGS	06479010	00060	128843	3	9	2014	2021	8	2020	2020	2014	14.0	502			47	62	288	647	930		
USGS	06479010	00060	128843	3	10	2014	2021	8	2020	2090	2014	17.0	486			51	66	264	585	909		
USGS	06479010	00060	128843	3	11	2014	2021	8	2020	2270	2014	18.0	498			60	75	229	554	908		
USGS	06479010	00060	128843	3	12	2014	2021	8	2020	2370	2014	19.0	497			76	97	188	514	896		
USGS	06479010	00060	128843	3	13	2014	2021	8	2020	2380	2014	22.0	642			124	156	346	1030	1440		
USGS	06479010	00060	128843	3	14	2014	2021	8	2019	3500	2014	26.0	946			132	170	348	1950	2630		
USGS	06479010	00060	128843	3	15	2014	2021	8	2019	4380	2014	35.0	1080			129	166	349	1980	2790		
USGS	06479010	00060	128843	3	16	2014	2021	8	2019	13400	2014	100	2240			139	157	360	2020	4580		
USGS	06479010	00060	128843	3	17	2014	2021	8	2019	15500	2021	155	2540			161	195	356	2000	4910		
USGS	06479010	00060	128843	3	18	2014	2021	8	2019	12800	2015	145	2210			162	197	343	1980	4280		
USGS	06479010	00060	128843	3	19	2014	2021	8	2019	10900	2015	136	1990			154	189	344	2010	3880		
USGS	06479010	00060	128843	3	20	2014	2021	8	2019	10000	2015	129	1900			149	185	341	2040	3700		
USGS	06479010	00060	128843	3	21	2014	2021	8	2019	9250	2015	118	1790			144	181	332	2030	3540		
USGS	06479010	00060	128843	3	22	2014	2021	8	2019	8740	2015	111	1710			136	165	321	2020	3450		
USGS	06479010	00060	128843	3	23	2014	2021	8	2019	8270	2015	106	1620			138	151	311	1990	3360		
USGS	06479010	00060	128843	3	24	2014	2021	8	2019	7710	2015	102	1580			157	175	346	2010	3250		
USGS	06479010	00060	128843	3	25	2014	2021	8	2019	6940	2015	101	1540			141	167	357	2130	3110		
USGS	06479010	00060	128843	3	26	2014	2021	8	2019	6160	2015	97.5	1490			121	160	352	2330	3130		
USGS	06479010	00060	128843	3	27	2014	2021	8	2019	5570	2015	96.1	1440			107	146	352	2450	3140		
USGS	06479010	00060	128843	3	28	2014	2021	8	2019	5100	2015	93.5	1390			111	144	357	2510	3080		
USGS	06479010	00060	128843	3	29	2014	2021	8	2019	4670	2015	93.8	1410			107	135	371	2880	3380		
USGS	06479010	00060	128843	3	30	2014	2021	8	2019	4380	2015	90.4	1310			103	127	435	2680	3240		
USGS	06479010	00060	128843	3	31	2014	2021	8	2019	4050	2015	86.7	1280			104	123	697	2570	3150		
USGS	06479010	00060	128843	4	1	2014	2021	8	2019	3690	2015	83.7	1280			98	115	823	2630	3120		
USGS	06479010	00060	128843	4	2	2014	2021	8	2019	3290	2015	81.8	1240			92	108	744	2740	3120		
USGS	06479010	00060	128843	4	3	2014	2021	8	2020	3080	2015	80.4	1150			91	104	679	2590	2970		
USGS	06479010	00060	128843	4	4	2014	2021	8	2020	3010	2015	78.4	1060			104	114	626	2340	2790		
USGS	06479010	00060	128843	4	5	2014	2021	8	2020	2900	2015	75.8	969			94	104	595	2060	2530		
USGS	06479010	00060	128843	4	6	2014	2021	8	2020	2660	2015	75.6	892			90	99	561	1890	2330		
USGS	06479010	00060	128843	4	7	2014	2021	8	2020	2370	2015	74.4	831			89	100	510	1830	2220		
USGS	06479010	00060	128843	4	8	2014	2021	8	2020	2230	2015	73.6	799			86	101	465	1820	2180		
USGS	06479010	00060	128843	4	9	2014	2021	8	2020	2250	2015	76.9	801			82	106	428	1860	2240		
USGS	06479010	00060	128843	4	10	2014	2021	8	2019	2360	2014	81.2	789			81	116	396	1730	2140		
USGS	06479010	00060	128843	4	11	2014	2021	8	2019	2980	2014	82.0	850			87	128	364	1630	2140		
USGS	06479010	00060	128843	4	12	2014	2021	8	2019	3560	2014	80.6	916			91	134	344	1560	2140		
USGS	06479010	00060	128843	4	13	2014	2021	8	2019	3540	2014	78.9	910			91	133	330	1500	2050		
USGS	06479010	00060	128843	4	14	2014	2021	8	2019	3600	2014	77.5	932			87	128	317	1520	2030		
USGS	06479010	00060	128843	4	15	2014	2021	8	2019	3730	2014	73.7	955			82	121	311	1530	2030		
USGS	06479010	00060	128843	4	16	2014	2021	8	2019	3850	2014	76.1	984			79	114	384	1510	2030		
USGS	06479010	00060	128843	4	17	2014	2021	8	2019	3820	2015	75.4	964			77	111	374	1480	2030		
USGS	06479010	00060	128843	4	18	2014	2021	8	2019	3770	2014	72.3	965			76	109	354	1520	2030		
USGS	06479010	00060	128843	4	19	2014	2021	8	2019	3700	2014	71.0	992			77	109	378	1570	2000		
USGS	06479010	00060	128843	4	20	2014	2021	8	2019	3730	2014	70.5	1050			79	108	493	1740	2190		
USGS	06479010	00060	128843	4	21	2014	2021	8	2019	4020	2014	70.2	1130			77	105	626	1850	2380		
USGS	06479010	00060	128843	4	22	2014	2021	8	2019	4320	2014	66.3	1210			75	103	777	1900	2520		
USGS	06479010	00060	128843	4	23	2014	2021	8	2019	4490	2014	65.4	1220			72	99	775	1920	2590		
USGS	06479010	00060	128843	4	24	2014	2021	8	2019	4380	2014	68.0	1180			72	96	699	1910	2590		
USGS	06479010	00060	128843	4	25	2014	2021	8	2019	4230	2014	68.8	1140			70	93	635	1900	2570		
USGS	06479010	00060	128843	4	26	2014	2021	8	2019	4050	2014	66.2	1110			67	90	657	1880	2520		
USGS	06479010	00060	128843	4	27	2014	2021	8	2019	3840	2015	64.0	1140			65	88	683	1960	2460		
USGS	06479010	00060	128843	4	28	2014	2021	8	2019	3650	2015	60.9	1260			67	89	624	2680	3060		
USGS	06479010	00060	128843	4	29	2014	2021	8	2019	3470	2015	59.1	1190			69	90	571	2630	3040		
USGS	06479010	00060	128843	4	30	2014	2021	8	2019	3330	2015	59.1	1150			69	89	554	2650	3120		
USGS	06479010	00060	128843	5	1	2014	2021	8	2016	3500	2014	71.6	1300			82	97	958	2810	3300		
USGS	06479010	00060	128843	5	2	2014	2021	8	2016	3550	2014	78.4	1390			90	102	894	2940	3240		
USGS	06479010	00060	128843	5	3	2014	2021	8	2016	3570	2014	86.0	1350			89	98	850	2820	3140		
USGS	06479010	00060	128843	5	4	2014	2021	8	2016	3510	2015	80.8	1290			82	91	803	2730	3080		
USGS	06479010	00060	128843	5	5	2014	2021	8	2016	3400	2015	75.0	1220			77	87	774	2570	2980		
USGS	06479010	00060	128843	5	6	2014	2021	8	2016	3110	2015	71.1	1110			73	85	739	2370	2810		
USGS	06479010	00060	128843	5	7	2014	2021	8	2019	2530	2014	71.7	965			74	84	714	2110	2490		
USGS	06479010	00060	128843	5	8	2014	2021	8	2019	2400	2014	71.9	858			74	83	694	1700	2060		
USGS	06479010	00060	128843	5	9	2014	2021	8	2019	2610	2014	70.8	821			72	83	670	1410	1830		
USGS	06479010	00060	128843	5	10	2014	2021	8	2019	2430	2014	71.7	755			76	87	632	1220	1610		
USGS	06479010	00060	128843	5	11	2014	2021	8	2019	2410	2014	73.9	749			108	119	612	1190	1580		
USGS	06479010	00060	128843	5	12	2014	2021	8	2019	2510	2014	86.3	782			111	122	578	1320	1710		
USGS	06479010	00060	128843	5	13	2014	2021	8	2019	2620	2021	113	811			124	127	547	1300	1640		
USGS	06479010	00060	128843	5	14	2014	2021	8	2019	2750	2021	112	814			122	128	521	1200	1530		
USGS	06479010	00060	128843	5	15	2014	2021	8	2019	2870	2014	102	794			109	121	498	1060	1420		
USGS	06479010	00060	128843	5	16	2014	2021	8	2019	2890	2014	98.6	763			109	120	484	956	1350		
USGS	06479010	00060	128843	5	17	2014	2021	8	2019	2800	2014	90.8	731			106	118	514	853	1250		
USGS	06479010	00060	128843	5	18	2014	2021	8	2019	2820	2014	84.0	760			106	119	666	811	1220		
USGS	06479010	00060	128843	5	19	2014	2021	8	2019	2790	2014	80.6	812			104	119	633	1230	1690		
USGS	06479010	00060	128843	5	20	2014	2021	8	2019	2670	2014	77.3	824			103	122	601	1440	1890		
USGS	06479010	00060	128843	5	21	2014	2021	8	2019	2580	2014	73.7	871			101	121	575	1820	2280		
USGS	06479010	00060	128843	5	22	2014	2021	8	2019	2760	2014	69.5	873			98	115	554	1770	2260		
USGS	06479010	00060	128843	5	23	2014	2021	8	2019	2800	2014	66.8	829			95	108	545	1530	2020		
USGS	06479010	00060	128843	5	24	2014	2021	8	2019	3310	2014	66.8	844			93	104	553	1250	1850		
USGS	06479010	00060	128843	5	25	2014	2021	8	2019	3380	2014	65.1	828			92	102	549	1070	1640		
USGS	06479010	00060	128843	5	26	2014	2021	8	2019	3300	2014	65.2	832			90	99	643	951	1460		
USGS	06479010	00060	128843	5	27	2014	2021	8	2019	3420	2014	62.5	832			88	98	680	825	1360		
USGS	06479010	00060	128843	5	28	2014	2021	8	2019	3630	2014	63.2	837			86	98	619	790	1370		
USGS	06479010	00060	128843	5	29	2014	2021	8	2019	4180	2014	59.5	971			85	99	581	1230	1950		
USGS	06479010	00060	128843	5	30	2014	2021	8	2019	5460	2014	59.3	1170			86	100	519	1590	2600		
USGS	06479010	00060	128843	5	31	2014	2021	8	2019	6840	2014	58.9	1340			86	97	470	1660	2960		
USGS	06479010	00060	128843	6	1	2014	2021	8	2019	6930	2014	73.1	1340			86	94	428	1720	3060		
USGS	06479010	00060	128843	6	2	2014	2021	8	2019	6900	2014	80.4	1310			85	91	419	1550	2880		
USGS	06479010	00060	128843	6	3	2014	2021	8	2019	6720	2021	83.5	1250			84	89	442	1350	2640		
USGS	06479010	00060	128843	6	4	2014	2021	8	2019	6010	2021	82.1	1140			93	132	430	1120	2260		
USGS	06479010	00060	128843	6	5	2014	2021	8	2019	5130	2021	79.3	1050			93	159	459	1010	1900		
USGS	06479010	00060	128843	6	6	2014	2021	8	2019	4550	2021	75.7	927			102	162	417	840	1640		
USGS	06479010	00060	128843	6	7	2014	2021	8	2019	4190	2021	72.9	854			160	213	380	725	1470		
USGS	06479010	00060	128843	6	8	2014	2021	8	2019	3890	2021	69.7	839			258	312	417	666	1330		
USGS	06479010	00060	128843	6	9	2014	2021	8	2019	3480	2021	67.3	785			241	297	462	606	1190		
USGS	06479010	00060	128843	6	10	2014	2021	8	2019	2840	2021	64.9	699			251	309	398	661	1130		
USGS	06479010	00060	128843	6	11	2014	2021	8	2019	2320	2021	67.3	663			261	316	417	736	1060		
USGS	06479010	00060	128843	6	12	2014	2021	8	2019	1940	2021	66.6	627			224	268	383	960	1240		
USGS	06479010	00060	128843	6	13	2014	2021	8	2019	1610	2021	65.3	539			206	250	354	799	1030		
USGS	06479010	00060	128843	6	14	2014	2021	8	2019	1380	2021	65.2	486			227	270	400	600	795		
USGS	06479010	00060	128843	6	15	2014	2021	8	2019	1220	2021	63.1	574			220	260	512	955	1070		
USGS	06479010	00060	128843	6	16	2014	2021	8	2014	1720	2021	60.4	636			207	245	442	1040	1240		
USGS	06479010	00060	128843	6	17	2014	2021	8	2014	2480	2021	58.7	691			197	233	404	949	1330		
USGS	06479010	00060	128843	6	18	2014	2021	8	2014	2780	2021	55.8	743			206	278	487	869	1340		
USGS	06479010	00060	128843	6	19	2014	2021	8	2014	3230	2021	53.2	805			182	260	477	864	1390		
USGS	06479010	00060	128843	6	20	2014	2021	8	2014	4150	2021	52.3	957			159	233	586	912	1600		
USGS	06479010	00060	128843	6	21	2014	2021	8	2014	6180	2021	48.9	1610			141	203	627	3030	4120		
USGS	06479010	00060	128843	6	22	2014	2021	8	2014	6820	2021	47.8	1770			126	182	844	3240	4490		
USGS	06479010	00060	128843	6	23	2014	2021	8	2014	6480	2021	48.2	1710			115	167	882	3100	4270		
USGS	06479010	00060	128843	6	24	2014	2021	8	2014	5510	2021	44.9	1580			105	153	740	3140	4050		
USGS	06479010	00060	128843	6	25	2014	2021	8	2014	4670	2021	43.3	1490			99	142	588	3450	4200		
USGS	06479010	00060	128843	6	26	2014	2021	8	2018	4760	2021	45.8	1460			96	134	495	3480	4280		
USGS	06479010	00060	128843	6	27	2014	2021	8	2018	6840	2021	43.9	1640			94	129	445	3130	4350		
USGS	06479010	00060	128843	6	28	2014	2021	8	2018	8200	2021	42.5	1780			89	123	445	2860	4300		
USGS	06479010	00060	128843	6	29	2014	2021	8	2018	7920	2021	43.4	1730			86	125	424	2650	3940		
USGS	06479010	00060	128843	6	30	2014	2021	8	2018	7440	2021	42.4	1690			83	165	522	2420	3560		
USGS	06479010	00060	128843	7	1	2014	2021	8	2018	6780	2021	44.6	1570			85	171	589	2150	3190		
USGS	06479010	00060	128843	7	2	2014	2021	8	2018	6030	2021	41.9	1370			83	141	533	1840	2780		
USGS	06479010	00060	128843	7	3	2014	2021	8	2018	5510	2021	43.2	1220			82	130	477	1520	2380		
USGS	06479010	00060	128843	7	4	2014	2021	8	2018	4910	2021	39.2	1070			78	123	425	1260	2000		
USGS	06479010	00060	128843	7	5	2014	2021	8	2018	4400	2021	41.8	965			77	118	388	1140	1820		
USGS	06479010	00060	128843	7	6	2014	2021	8	2018	3980	2021	41.3	897			89	127	345	1190	1840		
USGS	06479010	00060	128843	7	7	2014	2021	8	2018	3580	2021	40.2	850			146	179	309	1280	1880		
USGS	06479010	00060	128843	7	8	2014	2021	8	2018	3110	2021	38.8	811			154	186	381	1340	1890		
USGS	06479010	00060	128843	7	9	2014	2021	8	2018	2590	2021	38.2	847			139	170	455	1630	1970		
USGS	06479010	00060	128843	7	10	2014	2021	8	2018	2140	2021	42.0	849			128	157	415	1920	2120		
USGS	06479010	00060	128843	7	11	2014	2021	8	2019	2030	2021	44.3	761			119	146	380	1630	1830		
USGS	06479010	00060	128843	7	12	2014	2021	8	2019	2060	2021	53.2	661			114	137	360	1280	1590		
USGS	06479010	00060	128843	7	13	2014	2021	8	2019	2070	2021	68.3	666			110	128	353	1410	1780		
USGS	06479010	00060	128843	7	14	2014	2021	8	2019	2000	2021	72.9	643			105	120	328	1420	1810		
USGS	06479010	00060	128843	7	15	2014	2021	8	2019	1800	2021	59.2	569			97	114	303	1220	1580		
USGS	06479010	00060	128843	7	16	2014	2021	8	2019	1530	2021	53.5	518			92	109	278	1190	1500		
USGS	06479010	00060	128843	7	17	2014	2021	8	2019	1520	2021	50.8	500			87	105	247	1140	1450		
USGS	06479010	00060	128843	7	18	2014	2021	8	2019	1650	2021	48.7	494			83	100	221	1060	1390		
USGS	06479010	00060	128843	7	19	2014	2021	8	2019	1770	2021	45.4	481			80	96	199	941	1290		
USGS	06479010	00060	128843	7	20	2014	2021	8	2019	1870	2021	42.0	463			78	96	184	789	1150		
USGS	06479010	00060	128843	7	21	2014	2021	8	2019	1960	2021	40.3	453			80	97	170	688	1060		
USGS	06479010	00060	128843	7	22	2014	2021	8	2019	1990	2021	35.6	438			80	96	159	608	987		
USGS	06479010	00060	128843	7	23	2014	2021	8	2019	1890	2021	33.4	411			78	94	146	547	904		
USGS	06479010	00060	128843	7	24	2014	2021	8	2019	1700	2021	32.3	375			77	92	136	497	814		
USGS	06479010	00060	128843	7	25	2014	2021	8	2019	1490	2021	31.1	340			80	94	131	456	730		
USGS	06479010	00060	128843	7	26	2014	2021	8	2019	1310	2021	30.4	311			80	94	129	424	661		
USGS	06479010	00060	128843	7	27	2014	2021	8	2019	1200	2021	28.6	290			74	88	128	391	606		
USGS	06479010	00060	128843	7	28	2014	2021	8	2019	1090	2021	27.0	270			71	84	128	366	558		
USGS	06479010	00060	128843	7	29	2014	2021	8	2019	1030	2021	25.6	257			68	81	123	349	528		
USGS	06479010	00060	128843	7	30	2014	2021	8	2019	992	2021	24.8	247			66	78	117	332	503		
USGS	06479010	00060	128843	7	31	2014	2021	8	2019	1040	2021	25.5	247			64	76	109	315	496		
USGS	06479010	00060	128843	8	1	2014	2021	8	2019	1090	2021	23.7	249			62	73	105	300	492		
USGS	06479010	00060	128843	8	2	2014	2021	8	2019	1120	2021	22.2	248			60	72	101	289	488		
USGS	06479010	00060	128843	8	3	2014	2021	8	2019	1160	2021	21.6	250			60	72	99	276	483		
USGS	06479010	00060	128843	8	4	2014	2021	8	2019	1190	2021	21.3	254			60	71	94	283	497		
USGS	06479010	00060	128843	8	5	2014	2021	8	2019	1200	2021	23.5	261			62	71	92	324	543		
USGS	06479010	00060	128843	8	6	2014	2021	8	2019	1190	2021	25.7	269			60	69	93	380	601		
USGS	06479010	00060	128843	8	7	2014	2021	8	2019	1130	2021	22.8	268			57	66	96	422	635		
USGS	06479010	00060	128843	8	8	2014	2021	8	2019	1060	2021	23.3	286			56	64	99	581	790		
USGS	06479010	00060	128843	8	9	2014	2021	8	2019	978	2021	22.5	292			55	63	95	682	880		
USGS	06479010	00060	128843	8	10	2014	2021	8	2019	911	2021	21.2	274			54	63	92	626	807		
USGS	06479010	00060	128843	8	11	2014	2021	8	2019	869	2021	19.7	249			54	64	91	514	678		
USGS	06479010	00060	128843	8	12	2014	2021	8	2019	843	2021	19.0	231			53	62	95	418	569		
USGS	06479010	00060	128843	8	13	2014	2021	8	2019	826	2021	17.6	218			51	59	98	357	502		
USGS	06479010	00060	128843	8	14	2014	2021	8	2019	809	2021	17.2	207			48	57	95	318	460		
USGS	06479010	00060	128843	8	15	2014	2021	8	2019	784	2021	16.0	200			49	57	93	304	442		
USGS	06479010	00060	128843	8	16	2014	2021	8	2019	755	2021	17.0	195			46	56	89	296	429		
USGS	06479010	00060	128843	8	17	2014	2021	8	2019	730	2021	16.5	191			46	60	95	277	405		
