model_place_holder_date,begin_node,end_node
7/29/2015,1127.813,1118.6918
7/30/2015,1127.823,1118.7018
7/31/2015,1127.823,1118.7018
8/1/2015,1127.793,1118.6718
8/2/2015,1127.823,1118.7018
8/3/2015,1127.793,1118.6718
8/4/2015,1127.783,1118.6618
8/5/2015,1127.803,1118.6818
8/6/2015,1127.793,1118.6718
8/7/2015,1127.793,1118.6718
8/8/2015,1127.773,1118.6518
8/9/2015,1127.793,1118.6718
8/10/2015,1127.783,1118.6618
8/11/2015,1127.783,1118.6618
8/12/2015,1127.783,1118.6618
8/13/2015,1127.793,1118.6718
8/14/2015,1127.833,1118.7118
8/15/2015,1127.833,1118.7118
8/16/2015,1127.853,1118.7318
8/17/2015,1127.823,1118.7018
8/18/2015,1127.783,1118.6618
8/19/2015,1127.773,1118.6518
8/20/2015,1127.793,1118.6718
8/21/2015,1127.823,1118.7018
8/22/2015,1127.843,1118.7218
8/23/2015,1127.863,1118.7418
8/24/2015,1127.883,1118.7618
8/25/2015,1127.933,1118.8118
8/26/2015,1127.953,1118.8318
8/27/2015,1127.953,1118.8318
8/28/2015,1127.943,1118.8218
8/29/2015,1127.963,1118.8418
8/30/2015,1128.013,1118.8918
8/31/2015,1128.013,1118.8918
9/1/2015,1128.023,1118.9018
9/2/2015,1128.043,1118.9218
9/3/2015,1128.043,1118.9218
9/4/2015,1128.063,1118.9418
9/5/2015,1127.773,1118.6518
9/6/2015,1127.803,1118.6818
9/7/2015,1127.883,1118.7618
9/8/2015,1127.833,1118.7118
9/9/2015,1127.763,1118.6418
9/10/2015,1127.753,1118.6318
9/11/2015,1127.783,1118.6618
9/12/2015,1128.193,1119.0718
9/13/2015,1128.253,1119.1318
9/14/2015,1128.373,1119.2518
9/15/2015,1128.503,1119.3818
9/16/2015,1128.483,1119.3618
9/17/2015,1128.343,1119.2218
9/18/2015,1128.333,1119.2118
9/19/2015,1128.323,1119.2018
9/20/2015,1128.333,1119.2118
9/21/2015,1128.293,1119.1718
9/22/2015,1128.283,1119.1618
9/23/2015,1128.243,1119.1218
9/24/2015,1128.233,1119.1118
9/25/2015,1128.203,1119.0818
9/26/2015,1128.173,1119.0518
9/27/2015,1128.193,1119.0718
9/28/2015,1128.193,1119.0718
9/29/2015,1128.173,1119.0518
9/30/2015,1128.133,1119.0118
10/1/2015,1128.143,1119.0218
10/2/2015,1128.123,1119.0018
10/3/2015,1128.163,1119.0418
10/4/2015,1128.203,1119.0818
10/5/2015,1128.143,1119.0218
10/6/2015,1128.093,1118.9718
10/7/2015,1128.133,1119.0118
10/8/2015,1128.133,1119.0118
10/9/2015,1128.093,1118.9718
10/10/2015,1128.083,1118.9618
10/11/2015,1128.113,1118.9918
10/12/2015,1128.173,1119.0518
10/13/2015,1128.233,1119.1118
10/14/2015,1128.273,1119.1518
10/15/2015,1128.263,1119.1418
10/16/2015,1128.193,1119.0718
10/17/2015,1128.173,1119.0518
10/18/2015,1128.193,1119.0718
10/19/2015,1128.203,1119.0818
10/20/2015,1128.213,1119.0918
10/21/2015,1128.223,1119.1018
10/22/2015,1128.263,1119.1418
10/23/2015,1128.293,1119.1718
10/24/2015,1128.303,1119.1818
10/25/2015,1128.323,1119.2018
10/26/2015,1128.333,1119.2118
10/27/2015,1128.333,1119.2118
10/28/2015,1128.323,1119.2018
10/29/2015,1128.323,1119.2018
10/30/2015,1128.333,1119.2118
10/31/2015,1128.333,1119.2118
11/1/2015,1128.323,1119.2018
11/2/2015,1128.273,1119.1518
11/3/2015,1128.263,1119.1418
11/4/2015,1128.273,1119.1518
11/5/2015,1128.283,1119.1618
11/6/2015,1128.283,1119.1618
11/7/2015,1128.243,1119.1218
11/8/2015,1128.203,1119.0818
11/9/2015,1128.183,1119.0618
11/10/2015,1128.143,1119.0218
11/11/2015,1128.163,1119.0418
11/12/2015,1128.133,1119.0118
11/13/2015,1128.083,1118.9618
11/14/2015,1128.083,1118.9618
11/15/2015,1128.083,1118.9618
11/16/2015,1128.093,1118.9718
11/17/2015,1128.113,1118.9918
11/18/2015,1128.103,1118.9818
11/19/2015,1128.073,1118.9518
11/20/2015,1128.103,1118.9818
11/21/2015,1128.083,1118.9618
11/22/2015,1128.023,1118.9018
11/23/2015,1127.913,1118.7918
11/24/2015,1127.683,1118.5618
11/25/2015,1127.023,1117.9018
11/26/2015,1126.783,1117.6618
11/27/2015,1126.553,1117.4318
11/28/2015,1126.353,1117.2318
11/29/2015,1126.763,1117.6418
11/30/2015,1126.923,1117.8018
12/1/2015,1126.883,1117.7618
12/2/2015,1126.853,1117.7318
12/3/2015,1126.743,1117.6218
12/4/2015,1126.563,1117.4418
12/5/2015,1126.423,1117.3018
12/6/2015,1125.723,1116.6018
12/7/2015,1125.813,1116.6918
12/8/2015,1125.653,1116.5318
12/9/2015,1125.453,1116.3318
12/10/2015,1125.373,1116.2518
12/11/2015,1125.293,1116.1718
12/12/2015,1125.453,1116.3318
12/13/2015,1125.373,1116.2518
12/14/2015,1125.333,1116.2118
12/15/2015,1125.193,1116.0718
12/16/2015,1125.223,1116.1018
12/17/2015,1125.263,1116.1418
12/18/2015,1125.193,1116.0718
12/19/2015,1125.343,1116.2218
12/20/2015,1125.333,1116.2118
12/21/2015,1125.363,1116.2418
12/22/2015,1125.353,1116.2318
12/23/2015,1125.313,1116.1918
12/24/2015,1125.373,1116.2518
12/25/2015,1125.433,1116.3118
12/26/2015,1125.503,1116.3818
12/27/2015,1125.493,1116.3718
12/28/2015,1125.473,1116.3518
12/29/2015,1125.533,1116.4118
12/30/2015,1125.573,1116.4518
12/31/2015,1125.653,1116.5318
