Type,date,stage,discharge,Local Minimum,Fixed Interval,Sliding Interval
56,3/3/2015 8:00,1207.14,18985,5.051620483,4.800000191,4.599999905
57,3/3/2015 9:00,1207.16,19009,4.885951996,4.599999905,4.599999905
58,3/3/2015 10:00,1207.16,18985,4.725716114,4.400000095,4.599999905
59,3/3/2015 11:00,1207.16,18937,4.570735931,4.199999809,4.599999905
60,3/3/2015 12:00,1207.14,18924,4.400000095,4.099999905,4
61,3/3/2015 13:00,1207.16,19009,4.199999809,4,4
62,3/3/2015 14:00,1207.16,19009,4.099999905,4,4
63,3/3/2015 15:00,1207.14,18936,4,4,4
64,3/3/2015 16:00,1207.14,18973,4.300000191,4,4
65,3/3/2015 17:00,1207.14,18864,4.599999905,4,4.599999905
66,3/3/2015 18:00,1207.14,18936,5,4.300000191,4.599999905
67,3/3/2015 19:00,1207.12,18936,5.400000095,4.599999905,4.599999905
68,3/3/2015 20:00,1207.12,18937,5.900000095,5,4.599999905
69,3/3/2015 21:00,1207.12,19058,6.5,5.400000095,4.599999905
70,3/3/2015 22:00,1207.12,19070,9.275826454,5.900000095,15
71,3/3/2015 23:00,1207.09,19058,10.46013451,6.5,15
72,3/4/2015 0:00,1207.07,19130,11.79565144,15,15
73,3/4/2015 1:00,1207.09,17303,13.30168343,15,15
74,3/4/2015 2:00,1207.07,16940,15,15,15
75,3/4/2015 3:00,1207.08,17013,14.2370863,15,17
76,3/4/2015 4:00,1207.08,17013,13.51297569,15,17
77,3/4/2015 5:00,1207.09,16832,12.82569408,17,17
78,3/4/2015 6:00,1207.09,16880,12.17336845,15,17
79,3/4/2015 7:00,1207.09,17036,11.5542202,12,17
80,3/4/2015 8:00,1207.09,17061,10.96656227,11,8.899999619
81,3/4/2015 9:00,1207.11,17025,10.4087925,9.300000191,8.899999619
82,3/4/2015 10:00,1207.09,17037,9.879392624,8.899999619,8.899999619
83,3/4/2015 11:00,1207.11,17073,9.300000191,8.899999619,8.899999619
84,3/4/2015 12:00,1207.12,17073,8.899999619,8.899999619,8.899999619
85,3/4/2015 13:00,1207.09,17085,9.309482574,8.899999619,11
86,3/4/2015 14:00,1207.08,17037,9.737805367,8.899999619,11
87,3/4/2015 15:00,1207.09,17037,10.18583584,11,11
88,3/4/2015 16:00,1207.08,16820,10.65447903,12,11
89,3/4/2015 17:00,1207.09,16965,11.14468384,25,11
90,3/4/2015 18:00,1207.07,16904,11.657444,61,92
91,3/4/2015 19:00,1207.07,16807,12.1937952,92,92
92,3/4/2015 20:00,1207.05,16916,12.75482273,92,92
93,3/4/2015 21:00,1207.03,17001,13.34166336,81,92
94,3/4/2015 22:00,1207,17109,13.95550442,75,92
95,3/4/2015 23:00,1207,17122,14.59758759,72,36
96,3/5/2015 0:00,1206.98,17085,15.26921368,52,36
97,3/5/2015 1:00,1206.96,17098,15.97173977,36,36
98,3/5/2015 2:00,1206.96,17000,16.70658875,28,36
99,3/5/2015 3:00,1206.94,16964,17.47524643,24,36
100,3/5/2015 4:00,1206.92,17000,18.27927208,20,20
101,3/5/2015 5:00,1206.91,16988,19.12028885,20,20
102,3/5/2015 6:00,1206.89,16976,20,20,20
103,3/5/2015 7:00,1206.87,17000,32.53153229,20,20
104,3/5/2015 8:00,1206.87,17012,52.91502762,20,20
105,3/5/2015 9:00,1206.83,17024,86.07034302,35,140
106,3/5/2015 10:00,1206.83,16988,140,140,140
107,3/5/2015 11:00,1206.83,17000,121.8327026,140,140
108,3/5/2015 12:00,1206.8,17061,106.0229187,138,140
109,3/5/2015 13:00,1206.78,17012,92.26470184,84,140
110,3/5/2015 14:00,1206.78,16940,80.29184723,58,35
111,3/5/2015 15:00,1206.76,16940,69.87266541,43,35
112,3/5/2015 16:00,1206.76,16928,58,35,35
113,3/5/2015 17:00,1206.74,17061,43,31,35
114,3/5/2015 18:00,1206.72,17061,35,28,35
115,3/5/2015 19:00,1206.7,17061,31,27,23
116,3/5/2015 20:00,1206.72,17012,28,24,23
117,3/5/2015 21:00,1206.69,17024,27,23,23
118,3/5/2015 22:00,1206.69,17049,24,20,23
119,3/5/2015 23:00,1206.67,17036,22.98233414,20,23
120,3/6/2015 0:00,1206.68,17036,20,20,20
121,3/6/2015 1:00,1206.69,17037,19.69945717,20,20
122,3/6/2015 2:00,1206.69,17037,19.40343094,20,20
123,3/6/2015 3:00,1206.69,17000,19.11185455,26,20
124,3/6/2015 4:00,1206.67,17024,18.82465744,47,20
125,3/6/2015 5:00,1206.67,16988,18.54177856,44,35
126,3/6/2015 6:00,1206.67,17025,18.26314926,40,35
127,3/6/2015 7:00,1206.67,17000,17.98870659,35,35
128,3/6/2015 8:00,1206.65,17037,17.7183876,31,35
129,3/6/2015 9:00,1206.67,17121,17.45213127,26,35
130,3/6/2015 10:00,1206.65,17061,17.18987656,23,20
131,3/6/2015 11:00,1206.67,16940,16.93156242,21,20
132,3/6/2015 12:00,1206.65,17122,16.67712975,20,20
133,3/6/2015 13:00,1206.64,17085,16.4265213,20,20
134,3/6/2015 14:00,1206.63,17085,16.17967796,19,20
135,3/6/2015 15:00,1206.61,17109,15.93654442,17,15
136,3/6/2015 16:00,1206.63,17061,15.6970644,16,15
137,3/6/2015 17:00,1206.63,17061,15.46118259,15,15
138,3/6/2015 18:00,1206.63,16928,15.2288456,15,15
139,3/6/2015 19:00,1206.61,16952,15,15,15
140,3/6/2015 20:00,1206.61,17109,15,15,15
141,3/6/2015 21:00,1206.59,17025,17.49206734,15,15
142,3/6/2015 22:00,1206.57,17085,20.39816284,15,15
143,3/6/2015 23:00,1206.56,17085,23.78706932,112,15
144,3/7/2015 0:00,1206.56,17121,27.73900032,1510,15
145,3/7/2015 1:00,1206.57,17073,32.34749985,2540,298
146,3/7/2015 2:00,1206.56,17012,37.72164154,495,298
147,3/7/2015 3:00,1206.54,16916,43.98863602,298,298
148,3/7/2015 4:00,1206.54,16940,51.29681015,230,298
149,3/7/2015 5:00,1206.51,16940,59.81915283,180,298
150,3/7/2015 6:00,1206.54,16964,69.75737762,151,129
151,3/7/2015 7:00,1206.54,17073,81.34671783,134,129
152,3/7/2015 8:00,1206.5,17037,94.86148834,129,129
153,3/7/2015 9:00,1206.54,17037,110.6215744,129,129
154,3/7/2015 10:00,1206.5,17049,129,129,129
155,3/7/2015 11:00,1206.48,16977,133,129,133
156,3/7/2015 12:00,1206.5,17025,144.3071594,129,133
157,3/7/2015 13:00,1206.48,17037,152.6289825,133,133
158,3/7/2015 14:00,1206.48,17024,161.4306793,149,133
159,3/7/2015 15:00,1206.48,17037,170.7399597,191,133
160,3/7/2015 16:00,1206.46,17037,180.5860748,191,191
161,3/7/2015 17:00,1206.45,17062,191,191,191
162,3/7/2015 18:00,1206.45,17097,225.2807007,191,191
163,3/7/2015 19:00,1206.43,17097,198,191,191
164,3/7/2015 20:00,1206.43,17121,313.4045105,198,191
165,3/7/2015 21:00,1206.43,17109,369.6543884,198,277
166,3/7/2015 22:00,1206.36,17134,436,436,277
167,3/7/2015 23:00,1206.39,17110,374.8155212,277,277
168,3/8/2015 0:00,1206.39,17086,322.2171631,277,277
169,3/8/2015 1:00,1206.37,17085,277,277,277
170,3/8/2015 3:00,,,259.4585876,277,444
171,3/8/2015 4:00,1206.41,17109,243.0279999,277,444
172,3/8/2015 5:00,1206.34,17013,227.6379089,444,444
173,3/8/2015 6:00,1206.37,17061,213.2224121,284,444
174,3/8/2015 7:00,1206.34,17025,199.7198029,227,444
175,3/8/2015 8:00,1206.36,17110,187.0722656,185,144
176,3/8/2015 9:00,1206.34,17061,175.225647,162,144
177,3/8/2015 10:00,1206.36,17062,164.1292419,144,144
178,3/8/2015 11:00,1206.36,17012,153.7355194,144,144
179,3/8/2015 12:00,1206.37,17049,144,144,144
180,3/8/2015 13:00,1206.36,17049,192.6850586,144,345
181,3/8/2015 14:00,1206.36,17061,257.8300781,144,345
182,3/8/2015 15:00,1206.37,17024,345,345,345
183,3/8/2015 16:00,1206.35,17049,298.8164368,345,345
184,3/8/2015 17:00,1206.34,17037,258.8152466,207,345
185,3/8/2015 18:00,1206.35,17012,224.1688385,156,110
186,3/8/2015 19:00,1206.34,17000,194.1604004,127,110
187,3/8/2015 20:00,1206.33,17061,156,110,110
188,3/8/2015 21:00,1206.32,17061,127,103,110
189,3/8/2015 22:00,1206.3,17025,110,92,110
190,3/8/2015 23:00,1206.32,17049,103,79,71
191,3/9/2015 0:00,1206.32,17000,92,71,71
192,3/9/2015 1:00,1206.3,17098,79,71,71
193,3/9/2015 2:00,1206.3,17049,71,71,71
194,3/9/2015 3:00,1206.28,17024,71,71,71
195,3/9/2015 4:00,1206.29,17061,71,71,103
196,3/9/2015 5:00,1206.3,17024,71,72,103
197,3/9/2015 6:00,1206.29,17037,71,103,103
198,3/9/2015 7:00,1206.3,17061,71,131,103
199,3/9/2015 8:00,1206.28,16964,71,105,103
200,3/9/2015 9:00,1206.29,16988,71,90,71
201,3/9/2015 10:00,1206.3,17037,71,76,71
202,3/9/2015 11:00,1206.32,17037,71,71,71
203,3/9/2015 12:00,1206.32,17049,71,71,71
204,3/9/2015 13:00,1206.33,17037,71,71,71
205,3/9/2015 14:00,1206.33,17013,96.36431122,71,327
206,3/9/2015 15:00,1206.33,17001,130.7898712,71,327
207,3/9/2015 16:00,1206.33,16988,177.5137482,327,327
208,3/9/2015 17:00,1206.32,17012,240.9294434,327,327
209,3/9/2015 18:00,1206.32,16940,327,327,327
210,3/9/2015 19:00,1206.32,17000,286.3457947,327,238
211,3/9/2015 20:00,1206.32,16988,250.7459106,327,238
212,3/9/2015 21:00,1206.3,16976,219.5719757,238,238
213,3/9/2015 22:00,1206.32,16916,192.2737274,169,238
214,3/9/2015 23:00,1206.29,16977,168.369339,135,238
215,3/10/2015 0:00,1206.28,16965,147.4368439,112,99
216,3/10/2015 1:00,1206.28,16952,129.1067963,99,99
217,3/10/2015 2:00,1206.3,16989,112,99,99
218,3/10/2015 3:00,1206.3,16928,99,99,99
219,3/10/2015 4:00,1206.29,16856,91.77619171,99,99
220,3/10/2015 5:00,1206.26,16880,85.07948303,99,74
221,3/10/2015 6:00,1206.3,16940,78.87142181,92,74
222,3/10/2015 7:00,1206.3,16976,73.11634827,74,74
223,3/10/2015 8:00,1206.3,17133,67.78120422,64,74
224,3/10/2015 9:00,1206.3,17121,62.83536148,54,74
225,3/10/2015 10:00,1206.3,17109,58.25040436,54,54
226,3/10/2015 11:00,1206.32,17037,54,54,54
227,3/10/2015 12:00,1206.32,17073,50.56734848,54,54
228,3/10/2015 13:00,1206.33,16976,47.35290527,54,54
229,3/10/2015 14:00,1206.32,16976,44.34279251,69,54
230,3/10/2015 15:00,1206.32,16976,41.52402878,53,36
231,3/10/2015 16:00,1206.32,16976,38.88444519,42,36
232,3/10/2015 17:00,1206.32,16952,36.41265488,36,36
233,3/10/2015 18:00,1206.32,17037,34.09798813,29,36
234,3/10/2015 19:00,1206.31,17037,31.93045998,28,36
235,3/10/2015 20:00,1206.31,16989,29,28,23
236,3/10/2015 21:00,1206.31,16928,28,28,23
237,3/10/2015 22:00,1206.28,16989,25.6114521,23,23
238,3/10/2015 23:00,1206.28,17001,23.42666054,19,23
239,3/11/2015 0:00,1206.28,17025,21.42824364,17,23
240,3/11/2015 1:00,1206.28,17110,19,16,15
241,3/11/2015 2:00,1206.26,17061,17,15,15
242,3/11/2015 3:00,1206.26,17073,16,15,15
243,3/11/2015 4:00,1206.28,17049,15,15,15
244,3/11/2015 5:00,1206.24,17073,20.16589355,15,15
245,3/11/2015 6:00,1206.26,17098,27.11088371,15,49
246,3/11/2015 7:00,1206.22,17097,36.44767761,49,49
247,3/11/2015 8:00,1206.24,17110,49,49,49
248,3/11/2015 9:00,1206.22,17073,44.42026138,49,49
249,3/11/2015 10:00,1206.24,17097,40.26856613,43,49
250,3/11/2015 11:00,1206.24,17037,36.50490189,30,30
251,3/11/2015 12:00,1206.24,17073,33.09300613,30,30
252,3/11/2015 13:00,1206.21,17097,30,30,30
253,3/11/2015 14:00,1206.24,17013,27.11930275,22,14
254,3/11/2015 15:00,1206.22,17049,24.51521873,17,14
255,3/11/2015 16:00,1206.22,17049,22,14,14
256,3/11/2015 17:00,1206.23,17025,17,13,14
257,3/11/2015 18:00,1206.22,17037,14,12,14
258,3/11/2015 19:00,1206.22,16976,13,10,8.899999619
259,3/11/2015 20:00,1206.19,16964,12,9.199999809,8.899999619
260,3/11/2015 21:00,1206.2,17013,10,8.899999619,8.899999619
261,3/11/2015 22:00,1206.17,16952,9.199999809,8.300000191,8.899999619
262,3/11/2015 23:00,1206.15,16952,8.899999619,7.699999809,8.899999619
263,3/12/2015 0:00,1206.15,16940,8.300000191,7.5,7.300000191
264,3/12/2015 1:00,1206.13,17000,7.699999809,7.300000191,7.300000191
265,3/12/2015 2:00,1206.13,16976,7.5,7.300000191,7.300000191
266,3/12/2015 3:00,1206.11,16988,7.300000191,7.300000191,7.300000191
267,3/12/2015 4:00,1206.11,16988,7.640264511,7.300000191,7.300000191
268,3/12/2015 5:00,1206.11,17012,7.996389389,7.300000191,22
269,3/12/2015 6:00,1206.09,17024,8.369113922,29,22
270,3/12/2015 7:00,1206.13,17085,8.75921154,22,22
271,3/12/2015 8:00,1206.11,16964,9.167491913,16,22
272,3/12/2015 9:00,1206.11,16916,9.59480381,12,22
273,3/12/2015 10:00,1206.11,16941,10.04203224,11,11
274,3/12/2015 11:00,1206.15,16953,10.51010704,11,11
275,3/12/2015 12:00,1206.15,16928,11,11,11
276,3/12/2015 13:00,1206.17,16964,10.52829742,11,11
277,3/12/2015 14:00,1206.13,16976,10.07682323,11,11
278,3/12/2015 15:00,1206.15,16988,9.644708633,35,16
279,3/12/2015 16:00,1206.15,16988,9.231123924,21,16
280,3/12/2015 17:00,1206.19,16988,8.835274696,16,16
281,3/12/2015 18:00,1206.15,16964,8.456400871,13,16
282,3/12/2015 19:00,1206.17,16976,8.093772888,11,16
283,3/12/2015 20:00,1206.13,17024,7.746695995,9.100000381,7.400000095
284,3/12/2015 21:00,1206.11,17025,7.414501667,8.199999809,7.400000095
285,3/12/2015 22:00,1206.11,17024,7.096552849,7.400000095,7.400000095
286,3/12/2015 23:00,1206.11,16988,6.792238712,6.599999905,7.400000095
287,3/13/2015 0:00,1206.11,16988,6.500973701,6.099999905,7.400000095
288,3/13/2015 1:00,1206.04,17013,6.222198963,5.699999809,5.699999809
289,3/13/2015 2:00,1206.09,17012,5.955378532,5.699999809,5.699999809
290,3/13/2015 3:00,1206.07,17012,5.699999809,5.699999809,5.699999809
291,3/13/2015 4:00,1206.07,17025,5.492540836,5.099999905,5.699999809
292,3/13/2015 5:00,1206.06,16904,5.292632103,5.099999905,5.699999809
293,3/13/2015 6:00,1206.07,17012,5.099999905,5.099999905,5.099999905
294,3/13/2015 7:00,1206.09,17049,5.385278225,5.099999905,5.099999905
295,3/13/2015 8:00,1206.07,16976,5.686514378,5.099999905,5.099999905
296,3/13/2015 9:00,1206.09,17000,6.004601002,97,5.099999905
297,3/13/2015 10:00,1206.09,16988,6.340479851,43,5.099999905
298,3/13/2015 11:00,1206.09,16976,6.695147038,25,13
299,3/13/2015 12:00,1206.07,16988,7.069653511,17,13
300,3/13/2015 13:00,1206.09,16964,7.465108395,13,13
301,3/13/2015 14:00,1206.11,16964,7.882683754,11,13
302,3/13/2015 15:00,1206.09,16976,8.323616982,9.899999619,13
303,3/13/2015 16:00,1206.11,16965,8.789215088,9.800000191,9.800000191
304,3/13/2015 17:00,1206.09,16903,9.280857086,9.800000191,9.800000191
305,3/13/2015 18:00,1206.09,16831,9.800000191,9.800000191,9.800000191
306,3/13/2015 19:00,1206.09,17025,9.493459702,9.800000191,9.800000191
307,3/13/2015 20:00,1206.07,16928,9.196508408,9.800000191,9.800000191
308,3/13/2015 21:00,1206.05,17049,8.908844948,9.699999809,8
309,3/13/2015 22:00,1206.05,17097,8.630179405,8.600000381,8
310,3/13/2015 23:00,1206.04,16988,8.360230446,8,8
311,3/14/2015 0:00,1206.05,17037,8.098726273,7.599999905,8
312,3/14/2015 1:00,1206.05,17013,7.84540081,7.599999905,8
313,3/14/2015 2:00,1206.04,17061,7.599999905,7.599999905,6.800000191
314,3/14/2015 3:00,1206.04,17049,7.391582489,7,6.800000191
315,3/14/2015 4:00,1206.04,17013,7.188880444,6.800000191,6.800000191
316,3/14/2015 5:00,1206.05,16940,6.991736889,6.800000191,6.800000191
317,3/14/2015 6:00,1206.05,16916,6.800000191,6.800000191,6.800000191
318,3/14/2015 7:00,1206.07,16976,6.631891251,6.599999905,6
319,3/14/2015 8:00,1206.05,17012,6.467937946,6.199999809,6
320,3/14/2015 9:00,1206.05,17085,6.308038235,6,6
321,3/14/2015 10:00,1206.07,17073,6.152091503,6,6
322,3/14/2015 11:00,1206.07,17061,6,6,6
323,3/14/2015 12:00,1206.07,17049,6.240014076,6,7.300000191
324,3/14/2015 13:00,1206.05,17073,6.489629269,6,7.300000191
325,3/14/2015 14:00,1206.07,16989,6.749229908,7.300000191,7.300000191
326,3/14/2015 15:00,1206.06,16928,7.019215107,7.300000191,7.300000191
327,3/14/2015 16:00,1206.04,16964,7.300000191,7.300000191,7.300000191
328,3/14/2015 17:00,1206.05,16988,8.399999619,7.300000191,8.399999619
329,3/14/2015 18:00,1206.05,17025,10.2566433,7.300000191,8.399999619
330,3/14/2015 19:00,1206.07,17037,12.1575613,8.399999619,8.399999619
331,3/14/2015 20:00,1206.05,17024,14.41078568,26,8.399999619
332,3/14/2015 21:00,1206.04,17037,17.08161163,24,8.399999619
333,3/14/2015 22:00,1206.05,17037,20.24743652,24,24
334,3/14/2015 23:00,1206.02,17025,24,24,24
335,3/15/2015 0:00,1206.02,17000,24.19674683,24,24
336,3/15/2015 1:00,1206.02,17001,24.39510727,24,24
337,3/15/2015 2:00,1206.05,17024,24.59509468,25,24
338,3/15/2015 3:00,1206.04,17049,24.7967205,25,25
339,3/15/2015 4:00,1206.05,17012,25,25,25
340,3/15/2015 5:00,1206.05,17049,22.15250969,25,25
341,3/15/2015 6:00,1206.05,17085,19.62934875,15,25
342,3/15/2015 7:00,1206.02,16989,17.39357376,10,25
343,3/15/2015 8:00,1206.11,16976,15,7.699999809,6.300000191
344,3/15/2015 9:00,1206.05,17037,10,7,6.300000191
345,3/15/2015 10:00,1206.15,17062,7.699999809,6.300000191,6.300000191
346,3/15/2015 11:00,1206.09,17001,7,5.5,6.300000191
347,3/15/2015 12:00,1206.07,16965,6.300000191,5.099999905,6.300000191
348,3/15/2015 13:00,1206.07,16989,5.5,4.599999905,3.799999952
349,3/15/2015 14:00,1206.05,16988,5.099999905,4.199999809,3.799999952
350,3/15/2015 15:00,1206.07,17037,4.599999905,3.799999952,3.799999952
351,3/15/2015 16:00,1206.05,17001,4.199999809,3.599999905,3.799999952
352,3/15/2015 17:00,1206.07,16976,3.799999952,3.400000095,3.799999952
353,3/15/2015 18:00,1206.06,16940,3.599999905,3.299999952,3.200000048
354,3/15/2015 19:00,1206.05,17001,3.400000095,3.200000048,3.200000048
355,3/15/2015 20:00,1206.04,17037,3.299999952,3.200000048,3.200000048
356,3/15/2015 21:00,1206.04,16977,3.200000048,3.200000048,3.200000048
357,3/15/2015 22:00,1206.04,16989,3.340476274,3.200000048,3.200000048
358,3/15/2015 23:00,1206.04,16952,3.487119198,3.200000048,3.799999952
359,3/16/2015 0:00,1206.03,16976,3.640199423,3.400000095,3.799999952
360,3/16/2015 1:00,1206.02,16964,3.799999952,3.799999952,3.799999952
361,3/16/2015 2:00,1206,17001,4.099999905,3.799999952,3.799999952
362,3/16/2015 3:00,1206.02,17037,4.536474228,3.799999952,3.799999952
363,3/16/2015 4:00,1206.04,17073,4.956622601,4.099999905,12
364,3/16/2015 5:00,1206.04,17024,5.415683746,4.699999809,12
365,3/16/2015 6:00,1206.05,17073,5.917260647,12,12
366,3/16/2015 7:00,1206.02,16916,6.465291977,39,12
367,3/16/2015 8:00,1206.05,16989,7.064079285,24,12
368,3/16/2015 9:00,1206.05,16940,7.718323708,17,11
369,3/16/2015 10:00,1206.09,16856,8.433161736,13,11
370,3/16/2015 11:00,1206.07,16844,9.214203835,11,11
371,3/16/2015 12:00,1206.11,16880,10.06758404,11,11
372,3/16/2015 13:00,1206.11,16868,11,11,11
373,3/16/2015 14:00,1206.11,16891,12.05459976,11,19
374,3/16/2015 15:00,1206.11,16868,13.21030617,11,19
375,3/16/2015 16:00,1206.05,16686,14.47681427,19,19
376,3/16/2015 17:00,1206.02,16674,15.86474514,142,19
377,3/16/2015 18:00,1206.06,16879,17.38574028,118,19
378,3/16/2015 19:00,1206.06,16879,19.0525589,89,49
379,3/16/2015 20:00,1206.09,16867,20.879179,65,49
380,3/16/2015 21:00,1206.15,16855,22.88092232,49,49
381,3/16/2015 22:00,1206.11,16916,25.07457733,39,49
382,3/16/2015 23:00,1206.15,16868,27.47854424,33,49
383,3/17/2015 0:00,1206.17,16844,30.11298752,33,33
384,3/17/2015 1:00,1206.17,16928,33,33,33
385,3/17/2015 2:00,1206.17,19615,34.62585068,33,33
386,3/17/2015 3:00,1206.15,20219,36.33180237,33,33
387,3/17/2015 4:00,1206.13,20280,38.1218071,37,33
388,3/17/2015 5:00,1206.11,20352,40,40,40
389,3/17/2015 6:00,1206.11,20195,50.0439415,40,40
390,3/17/2015 7:00,1206.15,19965,62.60990524,40,40
391,3/17/2015 8:00,1206.15,19928,78.3311615,98,40
392,3/17/2015 9:00,1206.11,20256,98,98,40
393,3/17/2015 10:00,1206.13,20074,93.94591522,98,128
394,3/17/2015 11:00,1206.11,20073,90.05953979,98,128
395,3/17/2015 12:00,1206.13,20025,86.33393097,128,128
396,3/17/2015 13:00,1206.11,20098,82.76245117,211,128
397,3/17/2015 14:00,1206.11,19881,79.3387146,147,128
398,3/17/2015 15:00,1206.13,19856,76.05661011,117,82
399,3/17/2015 16:00,1206.15,19819,72.91028595,95,82
400,3/17/2015 17:00,1206.15,19952,69.89411926,82,82
401,3/17/2015 18:00,1206.15,20050,67.00272369,72,82
402,3/17/2015 19:00,1206.15,19976,64.23093414,65,82
403,3/17/2015 20:00,1206.13,20110,61.57381821,59,52
404,3/17/2015 21:00,1206.13,20013,59.02661514,54,52
405,3/17/2015 22:00,1206.12,20134,56.58478928,52,52
406,3/17/2015 23:00,1206.13,20001,54,52,52
407,3/18/2015 0:00,1206.12,19990,52,52,52
408,3/18/2015 1:00,1206.08,20001,53.42945862,52,282
409,3/18/2015 2:00,1206.1,22942,54.89821243,52,282
410,3/18/2015 3:00,1206.08,23159,56.407341,282,282
411,3/18/2015 4:00,1206.07,23063,57.95795441,184,282
412,3/18/2015 5:00,1206.06,23039,59.55119705,146,282
413,3/18/2015 6:00,1206.04,23026,61.18823242,120,76
414,3/18/2015 7:00,1206.04,23171,62.87027359,95,76
415,3/18/2015 8:00,1206.04,22990,64.59854889,76,76
416,3/18/2015 9:00,1206.02,23001,66.37433624,76,76
417,3/18/2015 10:00,1206,22046,68.19894409,72,76
418,3/18/2015 11:00,1206.03,22809,70.07369995,72,72
419,3/18/2015 12:00,1206,22313,72,72,72
420,3/18/2015 13:00,1206.02,23039,73.89813995,72,72
421,3/18/2015 14:00,1206.02,23062,75.84631348,72,72
422,3/18/2015 15:00,1206,22990,77.84584808,207,72
423,3/18/2015 16:00,1206.02,23051,79.89810181,152,105
424,3/18/2015 17:00,1206.04,23099,82.00445557,126,105
425,3/18/2015 18:00,1206.04,23027,84.16633606,105,105
426,3/18/2015 19:00,1206.02,23148,86.38521576,91,105
