Date,CL-80C,Airport,R20-95-06,R20-2015-06,R20-2015-07,R20-2015-08,R20-2015-09,R20-2015-10,min_riv,max_riv,avg_riv,north_group,middle_group,south_group
5/11/2015,1119.33,1119.85,1119.64,1117.21,1121.99,1120.29,1119.56,1121.07,1121.39,1121.5,1121.445,3.8,3.8,4.6
5/12/2015,1119.31,1119.85,1119.63,1117.28,1122.04,1120.29,1119.59,1121.14,1121.37,1121.51,1121.44,4.5,4.5,5.4
5/13/2015,1119.32,1119.85,1119.63,1117.33,1122.07,1120.28,1119.63,1121.19,1121.41,1121.5,1121.455,4.2,4.1,5
5/14/2015,1119.33,1119.87,1119.62,1117.31,1122.08,1120.26,1119.62,1121.22,1121.43,1121.54,1121.485,4.8,4.6,5.7
5/15/2015,1119.33,1119.88,1119.62,1117.39,1122.12,1120.26,1119.66,1121.24,1121.23,1121.42,1121.325,4.8,4.5,5.6
5/16/2015,---,---,---,---,---,---,---,---,1121.22,1121.28,1121.25,4.4,4.4,5.3
5/17/2015,---,---,---,---,---,---,---,---,1121.21,1121.29,1121.25,3.8,3.8,4.5
5/18/2015,1119.32,1119.87,1119.6,1117.54,1122.16,1120.22,1119.76,1121.29,1121.17,1121.24,1121.205,3.7,3.9,4.5
5/19/2015,1119.32,1119.85,1119.6,1117.57,1122.19,1120.22,1119.78,1121.31,1121.17,1121.27,1121.22,4.4,4.5,5.3
5/20/2015,1119.32,1119.88,1119.59,1117.53,1122.19,1120.22,1119.78,1121.3,1121.21,1121.27,1121.24,4.1,4.1,4.9
5/21/2015,1119.32,1119.89,1119.59,1117.56,1122.19,1120.21,1119.8,1121.33,1121.21,1121.27,1121.24,4.6,4.4,5.5
5/22/2015,1119.32,1119.89,1119.58,1117.5,1122.18,1120.2,1119.78,1121.3,1121.2,1121.3,1121.25,5.2,5,6.2
5/23/2015,---,---,---,---,---,---,---,---,1121.25,1121.32,1121.285,5.1,4.9,6.1
5/24/2015,---,---,---,---,---,---,---,---,1121.3,1121.34,1121.32,4.9,4.7,5.9
5/25/2015,---,---,---,---,---,---,---,---,1121.27,1121.32,1121.295,3.6,3.5,4.3
5/26/2015,1119.33,1119.91,1119.57,1117.55,1122.22,1120.19,1119.8,1121.33,1121.26,1121.31,1121.285,4.2,4.1,5
5/27/2015,1119.33,1119.91,1119.57,1117.74,1122.22,1120.18,1119.83,1121.33,1121.25,1121.33,1121.29,4,3.9,4.8
5/28/2015,1119.34,1119.92,1119.58,1117.67,1122.25,1120.19,1119.86,1121.37,1121.24,1121.3,1121.27,5.2,5.1,6.1
5/29/2015,1119.33,1119.91,1119.57,1117.52,1122.21,1120.18,1119.79,1121.34,1121.27,1121.39,1121.33,5.1,4.9,6.6
5/30/2015,---,---,---,---,---,---,---,---,1121.26,1121.32,1121.29,5.2,5.1,6
5/31/2015,---,---,---,---,---,---,---,---,1121.24,1121.32,1121.28,4.2,4,5
6/1/2015,1119.35,1119.93,1119.58,1117.6,1122.24,1120.18,1119.84,1121.38,1121.26,1121.35,1121.305,4,3.9,4.8
6/2/2015,1119.35,1119.94,1119.58,1117.53,1122.24,1120.18,1119.8,1121.36,1121.3,1121.36,1121.33,5.4,5.2,6.4
6/3/2015,1119.34,1119.93,1119.57,1117.49,1122.2,1120.18,1119.78,1121.36,1121.32,1121.41,1121.365,5.3,5.1,6.3
6/4/2015,1119.34,1119.93,1119.57,1117.45,1122.19,1120.17,1119.76,1121.34,1121.31,1121.38,1121.345,5.1,4.9,6.1
6/5/2015,1119.33,1119.93,1119.57,1117.52,1122.22,1120.17,1119.78,1121.35,1120.76,1121.37,1121.065,5.1,4.9,6.1
6/6/2015,---,---,---,---,---,---,---,---,1120.39,1120.74,1120.565,5.2,5,6.2
6/7/2015,---,---,---,---,---,---,---,---,1120.4,1121.02,1120.71,4.6,4.4,5.5
6/8/2015,1119.35,1119.93,1119.57,1117.48,1122.14,1120.16,1119.75,1121.22,1121.04,1121.38,1121.21,4.2,4.1,5.1
6/9/2015,1119.35,1119.94,1119.58,1117.47,1122.14,1120.17,1119.74,1121.19,1120.41,1121.03,1120.72,4.4,4.3,5.3
6/10/2015,1119.34,1119.94,1119.57,1117.39,1122.1,1120.16,1119.7,1121.08,1120.39,1120.68,1120.535,5.5,5.2,6.5
6/11/2015,1119.34,1119.93,1119.56,1117.37,1122.07,1120.15,1119.68,1121.11,1120.71,1121.38,1121.045,5.2,5,6.2
6/12/2015,1119.32,1119.94,1119.55,1117.54,1122.08,1120.16,1119.72,1121.15,1120.41,1121.06,1120.735,4.5,4.3,5.4
6/13/2015,---,---,---,---,---,---,---,---,1120.4,1120.69,1120.545,3.7,3.6,4.5
6/14/2015,---,---,---,---,---,---,---,---,1120.7,1121.37,1121.035,4,3.9,4.8
6/15/2015,1119.32,1119.94,1119.56,1117.49,1122.08,1120.15,1119.75,1121.16,1120.44,1121.04,1120.74,4,3.9,4.8
6/16/2015,1119.32,1119.94,1119.56,1117.49,1122.07,1120.15,1119.74,1121.08,1120.35,1120.46,1120.405,5,4.8,5.9
6/17/2015,1119.32,1119.94,1119.54,1117.45,1122.04,1120.15,1119.72,1121.13,1120.65,1121.31,1120.98,4.7,4.6,5.7
6/18/2015,1119.3,1119.93,1119.53,1117.45,1122.04,1120.14,1119.71,1121.15,1120.67,1121.11,1120.89,4.8,4.6,5.7
6/19/2015,1119.32,1119.94,1119.55,1117.41,1122.05,1120.14,1119.68,1121.11,1120.66,1120.72,1120.69,4.9,4.6,5.9
6/20/2015,---,---,---,---,---,---,---,---,1120.65,1120.75,1120.7,5.9,5.6,7
6/21/2015,---,---,---,---,---,---,---,---,1120.65,1120.74,1120.695,4.1,3.9,5.1
6/22/2015,1119.32,1119.92,1119.55,1117.33,1121.93,1120.13,1119.6,1121.03,1120.65,1120.81,1120.73,2,---,---
6/23/2015,1119.3,1119.9,1119.53,1117.38,1121.94,1120.12,1119.6,1121.04,1120.63,1120.73,1120.68,4.6,4.5,5.8
6/24/2015,1119.24,1119.89,1119.54,1117.31,1121.91,1120.12,1119.57,1121.01,1120.64,1120.73,1120.685,4.7,4.5,5.8
6/25/2015,1119.22,1119.87,1119.52,1117.27,1121.89,1120.11,1119.55,1120.98,1120.69,1120.75,1120.72,5.6,5.4,6.7
6/26/2015,1119.21,1119.87,1119.51,1117.35,1121.89,1120.11,1119.56,1121.01,1120.69,1120.78,1120.735,5.1,4.9,6.2
6/27/2015,---,---,---,---,---,---,---,---,1120.69,1120.76,1120.725,5.4,5.2,6.4
6/28/2015,---,---,---,---,---,---,---,---,1120.67,1120.73,1120.7,5.1,4.9,6.1
6/29/2015,1119.22,1119.84,1119.47,1117.15,1121.84,1120.08,1119.45,1120.93,1120.67,1120.73,1120.7,5.2,5,6.2
6/30/2015,1119.21,1119.82,1119.47,1117.06,1121.81,1120.07,1119.41,1120.89,1120.67,1120.76,1120.715,6.5,6.2,7.7
7/1/2015,1119.2,1119.83,1119.46,1117.03,1121.81,1120.06,1119.38,1120.9,1120.77,1121.08,1120.925,5.9,5.7,7.1
7/2/2015,1119.21,1119.82,1119.45,1117.29,1121.83,1120.06,1119.43,1120.98,1121.02,1121.2,1121.11,5.7,5.5,6.8
7/3/2015,---,---,---,---,---,---,---,---,1121.16,1121.23,1121.195,5.2,5,6.2
7/4/2015,---,---,---,---,---,---,---,---,1121.16,1121.23,1121.195,5.6,5.4,6.6
7/5/2015,---,---,---,---,---,---,---,---,1121.16,1121.32,1121.24,5.3,5.1,6.4
7/6/2015,1119.21,1119.82,1119.43,1117.15,1121.92,1120.02,1119.38,1121.11,1121.2,1121.39,1121.295,4.6,4.5,5.6
7/7/2015,1119.23,1119.84,1119.46,1117.22,1121.91,1120.01,1119.4,1121.12,1121.2,1121.26,1121.23,4.2,4,5
7/8/2015,1119.25,1119.87,1119.48,1117.26,1121.9,1120.01,1119.42,1121.2,1121.22,1121.33,1121.275,5.1,5,5.8
7/9/2015,1119.26,1119.89,1119.49,1117.26,1121.95,1120.02,1119.45,1121.24,1121.28,1121.35,1121.315,4.9,4.7,5.9
7/10/2015,1119.26,1119.89,1119.48,1117.2,1121.94,1120.01,1119.4,1121.21,1121.29,1121.34,1121.315,6,5.7,7.1
7/11/2015,---,---,---,---,---,---,---,---,1121.28,1121.35,1121.315,6.8,6.5,8.1
7/12/2015,---,---,---,---,---,---,---,---,1121.24,1121.32,1121.28,6,5.7,7.1
7/13/2015,1119.3,1119.93,1119.49,1116.97,1121.86,1120,1119.27,1121.08,1121.24,1121.3,1121.27,6.8,6.5,8.1
7/14/2015,1119.18,1119.94,1119.45,1116.94,1121.83,1120,1119.25,1121.04,1121.23,1121.29,1121.26,6.1,5.9,7.4
7/15/2015,1119.16,1119.93,1119.42,1116.84,1121.8,1119.99,1119.2,1120.97,1121.23,1121.27,1121.25,6.9,6.6,8.3
7/16/2015,1119.16,1119.92,1119.41,1116.86,1121.79,1119.98,1119.18,1120.99,1121.24,1121.29,1121.265,6.3,6,7.4
7/17/2015,1119.16,1119.92,1119.4,1116.81,1121.77,1119.97,1119.15,1120.95,1121.28,1121.33,1121.305,6.5,6,7.7
7/18/2015,---,---,---,---,---,---,---,---,1121.21,1121.29,1121.25,6.5,6.3,7.8
7/19/2015,---,---,---,---,---,---,---,---,1121.22,1121.29,1121.255,6.4,6.1,7.6
7/20/2015,1119.18,1119.9,1119.38,1116.74,1121.72,1119.94,1119.06,1120.91,1121.23,1121.3,1121.265,6.6,6.3,7.8
7/21/2015,1119.18,1119.9,1119.37,1116.75,1121.72,1119.93,1119.03,1120.89,1121.21,1121.27,1121.24,6.2,6,7.4
7/22/2015,1119.17,1119.88,1119.36,1116.73,1121.69,1119.91,1119.01,1120.89,1121.2,1121.27,1121.235,6.6,6.3,7.8
7/23/2015,1119.15,1119.89,1119.36,1116.72,1121.69,1119.91,1118.98,1120.88,1121.21,1121.27,1121.24,6.4,6.2,7.7
7/24/2015,1119.15,1119.89,1119.35,1116.7,1121.67,1119.92,1119.01,1120.89,1121.22,1121.28,1121.25,7,6.8,8.4
7/25/2015,---,---,---,---,---,---,---,---,1121.2,1121.32,1121.26,6.3,6.1,7.5
7/26/2015,---,---,---,---,---,---,---,---,1121.24,1121.4,1121.32,6.9,6.6,8.2
7/27/2015,1119.08,1119.85,1119.28,1116.74,1121.64,1119.87,1118.9,1120.89,1121.22,1121.32,1121.27,4.8,4.6,5.8
7/28/2015,1119.08,1119.84,1119.29,1116.78,1121.64,1119.85,1118.9,1120.91,1121.21,1121.26,1121.235,6.1,5.9,7.3
7/29/2015,1119.09,1119.83,1119.28,1116.83,1121.65,1119.84,1118.92,1120.95,1121.26,1121.32,1121.29,5.5,5.3,6.5
7/30/2015,1119.1,1119.83,1119.27,1116.78,1121.65,1119.83,1118.9,1120.94,1121.21,1121.3,1121.255,6.1,5.9,7.3
7/31/2015,1119.11,1119.82,1119.28,1116.94,1121.66,1119.82,1118.95,1120.97,1121.23,1121.3,1121.265,6.3,6,7.5
8/1/2015,---,---,---,---,---,---,---,---,1121.21,1121.28,1121.245,6.2,6,7.4
8/2/2015,---,---,---,---,---,---,---,---,1121.2,1121.28,1121.24,6.3,6,7.5
8/3/2015,1119.09,1119.82,1119.26,1116.72,1121.59,1119.79,1118.83,1120.87,1121.19,1121.25,1121.22,6.4,6.2,7.7
8/4/2015,1119.02,1119.8,1119.26,1116.66,1121.59,1119.78,1118.79,1120.83,1121.19,1121.24,1121.215,6.9,6.6,8.2
8/5/2015,1118.94,1119.81,1119.24,1116.67,1121.56,1119.77,1118.78,1120.83,1121.18,1121.23,1121.205,6.3,6.1,7.5
8/6/2015,1118.98,1119.8,1119.23,1116.67,1121.53,1119.76,1118.77,1120.81,1121.17,1121.24,1121.205,6.8,6.5,8.1
8/7/2015,1118.99,1119.79,1119.21,1116.68,1121.55,1119.75,1118.75,1120.81,1121.12,1121.18,1121.15,6.2,5.9,7.4
8/8/2015,---,---,---,---,---,---,---,---,1121.13,1121.18,1121.155,6,5.8,7.1
8/9/2015,---,---,---,---,---,---,---,---,1121.13,1121.19,1121.16,6.1,5.9,7.3
8/10/2015,1118.97,1119.77,1119.16,1116.66,1121.51,1119.72,1118.72,1120.81,1121.04,1121.2,1121.12,6.2,5.9,7.4
8/11/2015,1118.97,1119.76,1119.14,1116.59,1121.51,1119.7,1118.7,1120.79,1121.03,1121.1,1121.065,6.5,6.2,7.7
8/12/2015,1118.95,1119.76,1119.13,1116.59,1121.49,1119.69,1118.66,1120.77,1121.01,1121.07,1121.04,6.9,6.7,7.8
8/13/2015,1118.88,1119.76,1119.11,1116.58,1121.46,1119.67,1118.64,1120.76,1121,1121.08,1121.04,6.6,6.3,7.3
8/14/2015,1118.86,1119.76,1119.08,1116.59,1121.45,1119.66,1118.63,1120.73,1121.03,1121.08,1121.055,7,6.7,7.8
8/15/2015,---,---,---,---,---,---,---,---,1121.02,1121.06,1121.04,6.9,6.6,7.5
8/16/2015,---,---,---,---,---,---,---,---,1121.02,1121.1,1121.06,6.4,6.1,7.1
8/17/2015,1118.88,1119.72,1119.05,1116.87,1121.44,1119.62,1118.67,1120.78,1120.82,1121.11,1120.965,5.8,5.6,6.6
8/18/2015,1118.9,1119.72,1119.04,1116.87,1121.45,1119.61,1118.71,1120.8,1120.45,1120.79,1120.62,3.5,3.5,4.4
8/19/2015,1118.91,1119.71,1119.03,1116.92,1121.45,1119.6,1118.71,1120.75,1120.37,1120.47,1120.42,5.1,4.9,6.1
8/20/2015,1118.92,1119.71,1119,1116.95,1121.46,1119.59,1118.77,1120.75,1120.38,1120.52,1120.45,4.9,4.7,5.8
8/21/2015,1118.93,1119.7,1119.05,1116.9,1121.46,1119.59,1118.75,1120.74,1120.53,1120.79,1120.66,5.6,5.4,6.7
8/22/2015,---,---,---,---,---,---,---,---,1120.71,1120.79,1120.75,5.2,5,6.2
8/23/2015,---,---,---,---,---,---,---,---,1120.67,1120.76,1120.715,5.1,4.9,6.1
8/24/2015,1118.94,1119.69,1119.05,1116.97,1121.48,1119.57,1118.8,1120.8,1120.69,1120.77,1120.73,4.8,4.7,5.8
8/25/2015,1118.94,1119.68,1119.06,1117.07,1121.46,1119.56,1118.82,1120.8,1120.69,1121.03,1120.86,6,5.8,7.2
8/26/2015,1118.95,1119.67,1119.07,1116.88,1121.46,1119.56,1118.76,1120.8,1121.02,1121.06,1121.04,5.8,5.6,6.9
8/27/2015,1118.97,1119.68,1119.1,1116.88,1121.47,1119.56,1118.75,1120.83,1121.02,1121.09,1121.055,6.3,6,7.5
8/28/2015,1118.97,1119.68,1119.1,1116.97,1121.49,1119.56,1118.77,1120.86,1121.07,1121.24,1121.155,5.5,5.4,6.6
8/29/2015,---,---,---,---,---,---,---,---,1121.16,1121.26,1121.21,5.2,5,6.2
8/30/2015,---,---,---,---,---,---,---,---,1121.15,1121.23,1121.19,4.8,4.7,5.8
8/31/2015,1119.01,1119.7,1119.13,1117.16,1121.59,1119.58,1118.88,1121.02,1121.15,1121.21,1121.18,4.6,4.4,5.5
9/1/2015,1119.01,1119.69,1119.13,1117.18,1121.6,1119.58,1118.9,1121.04,1121.15,1121.21,1121.18,4.5,4.4,5.4
9/2/2015,1118.92,1119.7,1119.13,1117.19,1121.61,1119.59,1118.92,1121.05,1121.26,1121.32,1121.29,5.4,5.2,6.5
9/3/2015,1118.87,1119.7,1119.14,1117.21,1121.61,1119.59,1118.94,1121.07,1121.26,1121.32,1121.29,5.2,5,6.2
9/4/2015,1118.87,1119.7,1119.14,1117.51,1121.61,1119.59,1118.89,1121.11,1121.25,1121.32,1121.285,5.5,5.3,6.6
9/5/2015,---,---,---,---,---,---,---,---,1121.25,1121.28,1121.265,6.2,6,7.4
9/6/2015,---,---,---,---,---,---,---,---,---,---,---,4.9,4.7,5.9
9/7/2015,---,---,---,---,---,---,---,---,---,---,---,5.1,4.9,6.1
9/8/2015,1118.76,1119.69,1119.09,1117.25,1121.55,1119.54,1118.93,1121.09,1121.22,1121.26,1121.24,5.3,5.1,6.3
9/9/2015,---,---,---,---,---,---,---,---,1121.19,1121.28,1121.235,5.1,5,5.8
9/10/2015,1118.8,1119.68,1119.09,1117.27,1121.58,1119.53,1118.95,1121.1,1121.22,1121.3,1121.26,5.2,5,6
9/11/2015,1118.81,1119.68,1119.1,1117.33,1121.6,1119.53,1118.97,1121.13,1121.2,1121.25,1121.225,5,4.7,5.9
9/12/2015,---,---,---,---,---,---,---,---,1121.18,1121.23,1121.205,5.5,5.3,6.5
9/13/2015,---,---,---,---,---,---,---,---,1121.17,1121.21,1121.19,4.9,4.7,5.9
9/14/2015,1118.97,1119.7,1119.14,1117.29,1121.61,1119.56,1118.99,1121.1,1121.18,1121.26,1121.22,5.4,5.2,6.4
9/15/2015,1118.98,1119.71,1119.15,1117.26,1121.62,1119.56,1118.97,1121.1,1121.18,1121.23,1121.205,5.9,5.7,7
9/16/2015,1118.99,1119.71,1119.15,1117.18,1121.59,1119.57,1118.93,1121.06,1121.2,1121.26,1121.23,6.3,6.1,7.5
9/17/2015,1118.99,1119.7,1119.16,1117.11,1121.57,1119.57,1118.89,1121.02,1121.2,1121.26,1121.23,6.3,6.1,7.5
9/18/2015,1119,1119.7,1119.17,1117.1,1121.58,1119.57,1118.87,1121.02,1121.17,1121.24,1121.205,6,5.8,7.3
9/19/2015,---,---,---,---,---,---,---,---,1121.13,1121.19,1121.16,6.1,5.8,7.2
9/20/2015,---,---,---,---,---,---,---,---,1121.14,1121.22,1121.18,5,4.8,6.1
9/21/2015,1119.04,1119.71,1119.21,1117.14,1121.6,1119.6,1118.9,1121.02,1121.16,1121.19,1121.175,5.4,5.2,6.4
9/22/2015,1119.04,1119.7,1119.21,1117.1,1121.6,1119.59,1118.89,1121.01,1121.12,1121.26,1121.19,6.2,6,7.3
9/23/2015,1119.05,1119.72,1119.21,1117.1,1121.59,1119.61,1118.87,1120.99,1121.02,1121.46,1121.24,6.3,6,7.5
9/24/2015,1119.05,1119.71,1119.22,1117.19,1121.61,1119.61,1118.89,1121.04,1121.27,1121.38,1121.325,5.3,5.1,6.5
9/25/2015,1119.07,1119.74,1119.25,1117.22,1121.62,1119.62,1118.94,1121.08,1121.21,1121.36,1121.285,4.8,4.6,5.7
9/26/2015,---,---,---,---,---,---,---,---,1121.15,1121.22,1121.185,5,4.8,6
9/27/2015,---,---,---,---,---,---,---,---,1121.14,1121.18,1121.16,4.9,4.7,5.8
9/28/2015,1119.09,1119.78,1119.26,1117.34,1121.7,1119.65,1119.03,1121.15,1121.15,1121.22,1121.185,4.5,4.4,5.5
9/29/2015,1119.1,1119.78,---,1117.41,1121.71,1119.66,1119.05,1121.17,1121.15,1121.21,1121.18,5,4.8,6
9/30/2015,1119.1,1119.77,1119.28,1117.38,1121.72,1119.65,1119.04,1121.16,1121.14,1121.18,1121.16,5.4,5.1,6.1
